Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature ??C
Tonga,1993,0.00,0.00,,921.66,0.00,0.00,6.69,0.00,0.00,0.38,35.41,0.47,67.63,3.69,209.59,1186.93,1.03,4.12,8.49,41.87,0.00,0.00,8.07,73837.00,21807.00,50538.00,48954.00,2496.02,0.03
Tonga,1990,0.00,0.00,,921.66,0.00,0.00,6.73,0.00,0.00,0.36,35.41,0.31,67.63,3.68,209.59,1186.93,1.01,4.11,7.94,41.72,0.00,0.00,9.64,73549.00,21604.00,49999.00,48727.00,2496.71,0.48
Tonga,1991,0.00,0.00,,921.66,0.00,0.00,7.09,0.00,0.00,0.36,35.41,0.33,67.63,3.70,209.59,1186.93,1.03,4.10,7.94,41.74,0.00,0.00,10.30,73658.00,21675.00,50191.00,48818.00,2497.80,0.41
Malta,2015,0.00,0.00,0.90,246.41,0.00,2.00,101.14,-0.30,0.00,77.58,192.38,7.84,3.02,156.19,40.52,1235.85,376.64,8.37,4.50,32.43,0.00,0.00,13.91,23888.00,403728.00,230659.00,225920.00,2499.36,1.36
Afghanistan,1994,14.72,0.06,242.05,705.60,0.00,11.71,53.99,-2388.80,0.00,88.81,90.40,8.40,67.63,831.92,252.21,15.13,182.29,267.62,1689.36,367.68,0.00,0.00,,12690115.00,3482604.00,7733458.00,7722096.00,2500.77,0.37
Malta,1992,0.00,0.00,0.76,246.41,0.00,11.00,39.71,-0.12,0.00,65.52,2.23,0.76,67.63,123.73,209.59,1598.05,39.36,12.75,6.36,60.61,0.00,0.00,16.68,34800.00,335842.00,184043.00,187836.00,2501.01,0.53
Gambia,2008,88.23,0.00,17.51,239.90,0.00,8.00,17.57,0.00,527.63,,47.15,1.45,212.03,185.28,267.89,599.42,9.58,6.62,234.11,25.88,0.00,0.00,13.61,727394.00,861178.00,899494.00,921048.00,2501.88,1.40
Cook Islands,1991,0.00,0.00,,921.66,0.00,0.00,1.70,-21.21,0.00,,37.84,0.23,212.03,65.07,267.89,1005.59,0.14,0.73,0.71,7.29,0.00,0.00,3.72,7736.00,10792.00,8918.00,8390.00,2503.40,0.17
Cook Islands,1990,0.00,0.00,,921.66,0.00,0.00,1.70,-21.21,0.00,,37.84,0.22,212.03,65.07,267.89,1005.59,0.16,0.74,0.71,7.29,0.00,0.00,3.99,7762.00,10594.00,8828.00,8295.00,2503.68,0.23
Cook Islands,1992,0.00,0.00,,921.66,0.00,0.00,1.70,-21.21,0.00,,37.84,0.25,212.03,65.07,267.89,1005.59,0.16,0.81,0.73,7.83,0.00,0.00,3.66,7766.00,10948.00,8983.00,8473.00,2504.02,0.23
Armenia,2000,1.75,0.00,21.42,248.06,0.00,1.00,91.65,76.37,54.23,84.16,107.22,113.76,31.78,348.73,152.21,377.41,325.34,16.36,317.81,37.60,0.00,0.00,99.10,1084598.00,1984990.00,1496293.00,1672231.00,2505.96,0.94
Cook Islands,1993,0.00,0.00,,921.66,0.00,0.00,2.07,-21.21,0.00,,37.84,0.31,212.03,65.07,267.89,1005.59,0.16,1.00,0.82,10.80,0.00,0.00,4.30,7819.00,11050.00,9023.00,8541.00,2508.34,0.04
Cook Islands,1994,0.00,0.00,,921.66,0.00,0.00,2.07,-21.21,0.00,,37.84,0.33,212.03,65.07,267.89,1005.59,0.16,1.13,0.90,12.09,0.00,0.00,3.88,7847.00,11116.00,9052.00,8604.00,2509.45,0.10
Cook Islands,1995,0.00,0.00,,921.66,0.00,0.00,2.07,-21.21,0.00,,37.84,0.30,212.03,65.07,267.89,1005.59,0.17,1.32,0.74,13.79,0.00,0.00,3.85,7833.00,11123.00,9078.00,8658.00,2511.12,0.10
Slovakia,2002,0.00,0.00,190.68,596.29,64.62,29.00,387.70,-8863.15,428.42,1021.47,504.52,105.99,621.01,1129.20,767.38,0.01,4358.26,254.15,97.59,515.40,0.00,0.00,306.33,2375345.00,3024809.00,2611128.00,2764077.00,2514.87,0.10
Malta,2017,0.00,0.00,1.06,246.41,0.00,2.00,111.15,-4.53,0.00,66.62,173.53,5.42,2.18,158.62,29.46,1253.00,412.84,7.65,4.42,28.69,0.00,0.00,16.87,23498.00,407337.00,244709.00,234787.00,2515.37,0.10
Malta,1993,0.00,0.00,0.79,246.41,0.00,10.00,44.86,-0.12,0.00,76.70,3.65,1.05,67.63,126.74,209.59,1598.05,41.25,12.74,6.32,60.90,0.00,0.00,18.30,34674.00,339110.00,185755.00,189487.00,2524.84,0.10
Cook Islands,2004,0.00,0.00,,921.66,0.00,0.00,1.97,-3.62,0.00,,37.84,0.47,212.03,65.07,267.89,1005.59,0.17,1.21,0.21,13.69,0.00,0.00,3.25,5838.00,13684.00,7687.00,7426.00,2527.42,0.10
Cook Islands,2005,0.00,0.00,,921.66,0.00,0.00,2.15,-3.62,0.00,,37.84,0.50,212.03,65.07,267.89,1005.59,0.21,1.21,0.21,13.69,0.00,0.00,3.42,5711.00,13999.00,7691.00,7456.00,2527.85,0.10
Cook Islands,2006,0.00,0.00,,921.66,0.00,0.00,2.27,-3.62,0.00,,37.84,0.57,212.03,65.07,267.89,1005.59,0.22,1.21,0.21,13.69,0.00,0.00,3.53,5526.00,14170.00,7700.00,7499.00,2528.16,0.10
Cook Islands,2020,0.00,0.00,,921.66,0.00,0.00,2.60,-3.11,0.00,,44.39,0.29,212.03,65.07,267.89,1005.59,0.20,0.80,0.18,8.82,0.00,0.00,3.73,4292.00,13223.00,8143.00,8886.00,2530.13,0.10
Albania,2005,2.64,0.00,31.83,265.10,110.43,0.00,272.65,-1233.29,0.00,32.18,45.92,0.45,13.92,555.96,105.85,377.41,496.13,233.13,379.71,568.53,0.00,0.00,273.27,1640246.00,1438933.00,1508427.00,1524207.00,2531.81,0.10
Cook Islands,2019,0.00,0.00,,921.66,0.00,0.00,3.47,-3.11,0.00,,44.39,0.76,212.03,65.07,267.89,1005.59,0.20,0.93,0.19,10.37,0.00,0.00,4.66,4318.00,13144.00,8208.00,8902.00,2534.10,0.10
Cook Islands,2009,0.00,0.00,,921.66,0.00,0.00,2.43,-3.62,0.00,,44.39,0.61,212.03,65.07,267.89,1005.59,0.17,1.23,0.21,13.79,0.00,0.00,3.21,5095.00,13773.00,8306.00,8329.00,2534.65,0.10
Cook Islands,2018,0.00,0.00,,921.66,0.00,0.00,3.18,-3.11,0.00,,44.39,0.77,212.03,65.07,267.89,1005.59,0.20,1.06,0.19,11.81,0.00,0.00,4.48,4344.00,13067.00,8312.00,8941.00,2535.20,0.31
Cook Islands,2008,0.00,0.00,,921.66,0.00,0.00,2.63,-3.62,0.00,,44.39,0.65,212.03,65.07,267.89,1005.59,0.18,1.23,0.21,13.79,0.00,0.00,3.97,5238.00,13974.00,8063.00,8000.00,2535.68,0.34
Cook Islands,2007,0.00,0.00,,921.66,0.00,0.00,2.54,-3.62,0.00,,44.39,0.61,212.03,65.07,267.89,1005.59,0.19,1.23,0.21,13.79,0.00,0.00,4.35,5371.00,14140.00,7825.00,7681.00,2535.93,0.30
Cook Islands,2016,0.00,0.00,,921.66,0.00,0.00,3.04,-3.11,0.00,,44.39,0.65,212.03,65.07,267.89,1005.59,0.22,1.18,0.21,13.26,0.00,0.00,4.19,4411.00,12968.00,8525.00,9021.00,2536.28,0.44
Cook Islands,2010,0.00,0.00,,921.66,0.00,0.00,2.89,-3.62,0.00,,44.39,0.62,212.03,65.07,267.89,1005.59,0.17,1.23,0.22,13.79,0.00,0.00,4.42,4960.00,13585.00,8553.00,8659.00,2536.33,0.67
Cook Islands,2017,0.00,0.00,,921.66,0.00,0.00,3.21,-3.11,0.00,,44.39,0.71,212.03,65.07,267.89,1005.59,0.20,1.15,0.20,12.96,0.00,0.00,4.48,4374.00,13006.00,8415.00,8980.00,2536.44,0.56
Malta,2016,0.00,0.00,0.93,246.41,0.00,2.00,105.43,-4.53,0.00,78.04,194.44,7.83,3.00,157.27,39.16,1253.00,395.91,8.13,4.44,31.21,0.00,0.00,13.89,23701.00,405661.00,237468.00,230237.00,2536.55,1.75
Dominican Republic,1991,7.99,13.82,34.51,744.76,0.00,215.00,293.48,-7268.42,0.00,759.24,519.88,534.38,67.63,3686.71,365.15,356.49,557.02,151.10,1114.88,204.49,0.00,3.35,175.34,3260144.00,4065478.00,3626593.00,3651809.00,2536.79,0.40
Cook Islands,2015,0.00,0.00,,921.66,0.00,0.00,3.31,-2.76,0.00,,44.39,0.67,212.03,65.07,267.89,1005.59,0.19,1.21,0.20,13.57,0.00,0.00,4.52,4466.00,12983.00,8633.00,9063.00,2537.55,-0.40
Cook Islands,2011,0.00,0.00,,921.66,0.00,0.00,3.23,-2.76,0.00,,44.39,0.57,212.03,65.07,267.89,1005.59,0.17,1.23,0.22,13.79,0.00,0.00,4.55,4836.00,13421.00,8797.00,8973.00,2537.63,0.58
Cook Islands,2013,0.00,0.00,,921.66,0.00,0.00,3.40,-2.76,0.00,,44.39,0.61,212.03,65.07,267.89,1005.59,0.18,1.23,0.22,13.79,0.00,0.00,4.76,4625.00,13142.00,8805.00,9111.00,2538.06,0.48
Cook Islands,2012,0.00,0.00,,921.66,0.00,0.00,3.43,-2.76,0.00,,44.39,0.60,212.03,65.07,267.89,1005.59,0.19,1.23,0.22,13.79,0.00,0.00,4.75,4724.00,13272.00,8878.00,9121.00,2538.08,0.22
Cook Islands,2014,0.00,0.00,,921.66,0.00,0.00,3.60,-2.76,0.00,,44.39,0.63,212.03,65.07,267.89,1005.59,0.18,1.23,0.22,13.79,0.00,0.00,4.71,4540.00,13048.00,8724.00,9092.00,2538.23,0.07
Gambia,2005,90.11,0.00,14.26,126.11,0.00,21.00,13.00,0.00,527.63,,43.35,1.06,212.03,174.45,267.89,783.32,8.89,5.57,220.00,22.56,0.00,0.00,8.21,692935.00,751269.00,818687.00,841681.00,2539.45,0.07
Albania,2004,0.23,0.00,31.10,265.10,110.43,4.00,217.01,-1233.29,0.00,80.97,33.41,1.42,14.47,545.06,90.05,377.41,523.74,234.06,383.90,572.08,0.00,0.00,297.62,1683584.00,1414163.00,1521272.00,1541351.00,2548.79,0.07
Antigua and Barbuda,1990,0.00,0.00,0.00,246.41,0.00,0.00,10.83,,,6.61,4.46,2.41,172.18,30.93,252.21,1807.61,2.35,1.58,7.96,1.35,0.00,0.00,7.18,43068.00,23628.00,30494.00,32834.00,2554.09,0.07
Antigua and Barbuda,1992,0.00,0.00,0.00,246.41,0.00,0.00,11.22,,,6.88,4.42,1.97,172.18,31.40,252.21,1807.61,2.61,1.92,7.76,1.44,0.00,0.00,6.68,44419.00,24008.00,31172.00,33487.00,2554.70,0.07
Antigua and Barbuda,1993,0.00,0.00,0.00,246.41,0.00,0.00,11.87,,,7.08,4.85,2.09,172.18,31.55,252.21,1807.61,2.72,1.92,8.00,1.46,0.00,0.00,5.63,45663.00,24275.00,31622.00,34212.00,2555.60,0.07
Antigua and Barbuda,1991,0.00,0.00,0.00,246.41,0.00,0.00,11.22,,,7.27,4.70,2.23,172.18,31.16,252.21,1807.61,2.59,1.91,7.76,1.43,0.00,0.00,7.76,43437.00,23870.00,30718.00,32916.00,2556.43,0.07
Antigua and Barbuda,1994,0.00,0.00,0.00,246.41,0.00,0.00,12.33,,,6.92,4.63,3.10,172.18,31.75,252.21,1807.61,2.91,1.92,8.30,1.48,0.00,0.00,5.87,47095.00,24624.00,32099.00,34974.00,2557.64,0.07
Antigua and Barbuda,1995,0.00,0.00,0.00,246.41,0.00,0.00,12.96,,,7.40,5.36,3.28,172.18,31.87,252.21,1807.61,3.04,1.91,8.60,1.50,0.00,0.00,8.39,48617.00,25002.00,32619.00,35779.00,2562.73,0.07
Bosnia and Herzegovina,2013,0.91,1.95,65.28,248.06,118.33,76.00,412.13,-3767.81,0.00,404.10,718.92,38.99,290.45,845.31,199.64,136.91,1911.76,207.65,177.29,440.13,0.00,0.00,37.22,1927984.00,1677015.00,1765649.00,1851910.00,2563.21,1.47
Antigua and Barbuda,1996,0.00,0.00,0.00,246.41,0.00,0.00,13.29,,,7.86,6.19,3.28,172.18,32.05,252.21,1807.61,3.51,1.63,8.89,1.50,0.00,0.00,8.87,50225.00,25403.00,33171.00,36627.00,2565.47,0.29
Gambia,2011,105.11,0.00,15.32,296.54,0.00,13.00,7.84,0.00,527.54,,47.89,2.03,212.03,195.15,267.89,599.42,10.11,5.73,218.11,22.83,0.00,0.00,21.83,761696.00,984667.00,989446.00,1008766.00,2568.35,0.91
Bosnia and Herzegovina,2014,0.86,3.64,56.75,248.06,117.42,72.00,432.00,-3767.81,0.00,369.54,722.06,38.53,251.12,863.54,206.23,185.98,1930.81,198.35,177.05,432.28,0.00,0.00,30.21,1895685.00,1670317.00,1745230.00,1825837.00,2568.62,1.86
Antigua and Barbuda,1997,0.00,0.00,0.00,246.41,0.00,0.00,14.12,,,8.66,7.46,4.36,172.18,32.22,252.21,1807.61,3.82,1.64,9.07,1.58,0.00,0.00,7.47,51913.00,25826.00,33735.00,37483.00,2568.82,0.61
Bahamas,1990,10.34,45.73,0.04,246.41,0.00,6.00,25.74,0.00,0.00,62.46,47.13,26.08,89.98,237.15,209.59,1474.17,11.10,3.00,4.97,2.60,0.00,32.08,34.61,51682.00,204654.00,133065.00,137614.00,2569.19,0.90
Dominican Republic,1992,7.99,13.82,34.97,484.14,0.00,193.00,387.40,-7268.42,0.00,758.94,536.51,621.56,67.63,3723.33,365.15,356.49,612.02,155.24,1112.79,205.33,0.00,3.35,200.65,3303529.00,4165022.00,3700622.00,3726718.00,2571.89,0.53
Bahamas,1993,10.34,45.73,0.02,246.41,0.00,8.00,15.50,0.00,0.00,79.59,20.24,29.02,128.20,239.62,209.59,1470.69,11.60,2.68,4.54,2.33,0.00,32.08,19.34,52829.00,218336.00,141526.00,146638.00,2575.53,0.36
Antigua and Barbuda,1998,0.00,0.00,0.00,246.41,0.00,0.00,14.45,,,9.09,8.47,4.13,172.18,32.37,252.21,1807.61,4.33,1.67,9.12,1.64,0.00,0.00,12.26,53616.00,26235.00,34279.00,38293.00,2575.95,1.00
Dominica,2000,0.00,0.00,0.01,246.41,0.00,11.48,8.46,0.18,54.91,7.38,3.71,1.25,128.20,16.32,209.59,1847.06,30.11,2.17,6.05,1.30,0.00,0.00,1.48,24202.00,45474.00,34133.00,34213.00,2576.07,0.26
Bahamas,1992,10.34,45.73,0.03,246.41,0.00,7.00,17.27,0.00,0.00,73.33,32.26,25.85,128.20,239.03,209.59,1470.69,11.20,2.74,4.57,2.35,0.00,32.08,20.59,52446.00,213688.00,138557.00,143416.00,2579.25,0.25
Bahamas,1991,10.34,45.73,0.04,246.41,0.00,7.00,22.92,0.00,0.00,72.30,43.98,28.87,89.98,238.27,209.59,1474.17,12.00,2.47,4.30,2.17,0.00,32.08,36.77,52049.00,209067.00,135741.00,140316.00,2579.39,0.79
Antigua and Barbuda,1999,0.00,0.00,0.00,246.41,0.00,0.00,15.44,,,9.28,9.22,4.04,172.18,32.52,252.21,1807.61,5.07,1.94,8.99,1.77,0.00,0.00,14.03,55244.00,26587.00,34782.00,39039.00,2580.73,0.51
Cuba,2011,93.16,83.87,69.04,1631.08,0.00,78.31,473.28,-12709.81,0.00,1307.84,298.66,259.57,4.40,3126.31,193.54,131.90,1910.94,262.20,2010.95,365.78,0.00,67.16,2924.00,2646885.00,8707766.00,5639643.00,5659068.00,2582.18,0.69
Antigua and Barbuda,2000,0.00,0.00,0.00,246.41,0.00,0.00,15.70,,,9.87,10.44,5.00,172.18,32.67,252.21,1807.61,5.54,1.75,9.09,1.51,0.00,0.00,15.70,56731.00,26853.00,35307.00,39748.00,2585.69,0.34
Djibouti,2015,0.00,0.00,0.32,246.41,0.00,11.48,12.44,0.00,0.00,12.59,90.68,7.65,67.63,95.65,209.59,1520.58,57.10,3.72,215.35,21.54,0.00,0.00,13.98,209442.00,717972.00,500482.00,505777.00,2586.69,1.70
Antigua and Barbuda,2001,0.00,0.00,0.00,246.41,0.00,0.00,15.85,,,10.20,11.87,5.32,172.18,32.75,252.21,1807.61,6.19,1.81,9.32,1.56,0.00,0.00,17.74,58060.00,26997.00,35831.00,40383.00,2591.01,0.66
Djibouti,2014,0.00,0.00,0.33,246.41,0.00,11.48,13.11,0.00,0.00,11.92,85.29,6.52,67.63,94.10,209.59,1521.07,69.30,3.74,214.59,21.47,0.00,0.00,15.31,206929.00,705235.00,492063.00,497024.00,2591.87,1.13
Antigua and Barbuda,2002,0.00,0.00,0.00,246.41,0.00,0.00,17.00,,,11.76,14.35,5.71,172.18,32.84,252.21,1807.61,6.84,1.82,9.48,1.58,0.00,0.00,19.11,59439.00,26827.00,36301.00,40894.00,2598.89,0.64
Djibouti,2012,0.00,0.00,0.37,246.41,0.00,11.48,5.14,0.00,0.00,11.43,78.92,6.05,67.63,92.35,209.59,1617.99,3.06,3.73,213.70,21.40,0.00,0.00,9.63,201456.00,679729.00,474899.00,479398.00,2598.89,1.42
Antigua and Barbuda,2003,0.00,0.00,0.00,246.41,0.00,0.00,17.38,,,12.05,15.70,5.40,172.18,32.95,252.21,1807.61,7.72,1.86,9.62,1.61,0.00,0.00,18.97,60700.00,26593.00,36745.00,41329.00,2601.69,0.77
Antigua and Barbuda,2004,0.00,0.00,0.00,246.41,0.00,0.00,18.05,,,11.90,16.58,5.00,172.18,33.06,252.21,1807.61,8.78,1.90,9.81,1.65,0.00,0.00,21.65,61924.00,26333.00,37188.00,41753.00,2606.80,0.49
Bahamas,1994,10.34,45.73,0.02,246.41,0.00,10.00,15.51,0.00,0.00,80.54,24.13,45.34,128.20,240.48,209.59,1470.69,11.90,2.30,4.06,2.02,0.00,32.08,28.86,53137.00,222758.00,144309.00,149688.00,2608.21,0.89
Oman,1990,0.00,0.00,0.28,246.41,0.00,0.00,190.05,0.00,0.00,251.80,111.50,39.04,22.01,218.44,131.57,659.74,533.14,3.63,179.39,22.12,0.00,0.00,,614277.00,1197883.00,1026621.00,777902.00,2609.13,0.10
Armenia,2001,3.59,0.78,30.61,248.06,0.00,1.00,93.56,-84.01,207.20,90.59,116.36,96.59,41.12,352.50,203.09,377.41,351.45,16.19,326.53,38.20,0.00,0.00,102.03,1086476.00,1964179.00,1477059.00,1656074.00,2612.82,0.10
Antigua and Barbuda,2005,0.00,0.00,0.00,246.41,0.00,0.00,18.67,,,12.74,18.36,4.35,172.18,33.32,252.21,1807.61,10.04,1.91,9.82,1.66,0.00,0.00,23.62,63175.00,26078.00,37660.00,42209.00,2612.91,0.10
Cook Islands,2002,0.00,0.00,,1011.44,0.00,0.00,1.23,-3.62,0.00,,37.84,0.45,212.03,65.07,267.89,1005.59,0.13,1.18,0.28,12.88,0.00,0.00,1.98,5952.00,12750.00,7667.00,7362.00,2614.38,0.10
Antigua and Barbuda,2006,0.00,0.00,0.00,246.41,0.00,0.00,19.56,,,14.14,19.54,3.36,172.18,33.50,252.21,1807.61,10.79,1.92,9.90,1.67,0.00,0.00,22.24,64469.00,25832.00,38181.00,42715.00,2615.03,0.10
Cook Islands,2003,0.00,0.00,,1011.44,0.00,0.00,1.61,-3.62,0.00,,37.84,0.48,212.03,65.07,267.89,1005.59,0.13,1.15,0.24,12.86,0.00,0.00,2.99,5909.00,13239.00,7681.00,7396.00,2615.71,0.10
Cook Islands,2001,0.00,0.00,,1011.44,0.00,0.00,1.73,-3.62,0.00,,37.84,0.44,212.03,65.07,267.89,1005.59,0.17,1.21,0.33,13.22,0.00,0.00,2.80,6064.00,12258.00,7808.00,7486.00,2616.15,0.10
Antigua and Barbuda,2008,0.00,0.00,0.00,246.41,0.00,0.00,18.57,,,16.76,23.76,4.07,172.18,33.89,252.21,1807.61,12.45,1.72,9.93,1.65,0.00,0.00,17.48,67134.00,25344.00,39367.00,43883.00,2618.71,0.10
Antigua and Barbuda,2009,0.00,0.00,0.00,246.41,0.00,0.00,18.55,,,17.29,24.30,3.73,172.18,33.91,252.21,1807.61,13.54,1.70,9.84,1.64,0.00,0.00,16.10,68485.00,25096.00,40012.00,44522.00,2619.02,0.10
Afghanistan,1995,14.72,0.06,243.82,666.40,0.00,11.71,54.64,-2388.80,0.00,90.16,98.87,7.77,67.63,863.04,252.21,15.91,174.36,275.24,1779.31,397.55,0.00,0.00,,13401971.00,3697570.00,8219467.00,8199445.00,2624.61,0.10
Antigua and Barbuda,2010,0.00,0.00,0.00,246.41,0.00,0.00,18.68,,,22.95,25.21,4.51,172.18,33.87,252.21,1807.61,14.22,1.33,5.52,1.44,0.00,0.00,18.62,69824.00,24837.00,40597.00,45097.00,2624.77,0.10
Antigua and Barbuda,2011,0.00,0.00,0.00,246.41,0.00,0.00,18.60,,,22.88,26.56,4.90,172.18,33.93,252.21,1807.61,14.62,1.40,5.50,1.47,0.00,0.00,17.55,71116.00,24603.00,41141.00,45588.00,2625.81,0.10
Antigua and Barbuda,2012,0.00,0.00,0.00,246.41,0.00,0.00,19.06,,,18.57,31.01,4.87,172.18,33.95,252.21,1807.61,15.32,1.40,5.50,1.47,0.00,0.00,17.47,72074.00,24703.00,41653.00,46022.00,2627.04,0.71
Antigua and Barbuda,2007,0.00,0.00,0.00,246.41,0.00,0.00,18.85,,,16.08,22.87,4.12,172.18,33.72,252.21,1807.61,11.60,1.66,10.18,1.62,0.00,0.00,28.73,65792.00,25589.00,38745.00,43270.00,2627.85,0.92
Antigua and Barbuda,2013,0.00,0.00,0.00,246.41,0.00,1.00,19.24,,,18.71,29.61,4.36,172.18,34.03,252.21,1807.61,16.07,1.37,5.49,1.45,0.00,0.00,19.08,73026.00,24798.00,42096.00,46401.00,2628.84,0.80
Sao Tome and Principe,2011,0.00,0.00,0.05,246.41,0.00,11.48,4.62,0.00,215.31,1.73,10.26,17.00,80.61,15.70,209.59,1807.61,0.97,2.49,2.25,4.26,0.00,0.00,2.89,60678.00,118122.00,92829.00,93216.00,2633.22,0.74
Antigua and Barbuda,2014,0.00,0.00,0.00,246.41,0.00,1.00,19.70,,,19.37,31.27,4.31,172.18,34.10,252.21,1807.61,16.88,1.38,5.47,1.45,0.00,0.00,21.54,73984.00,24891.00,42488.00,46748.00,2634.91,0.72
Gambia,2018,70.93,0.42,11.50,287.14,0.00,14.00,8.49,0.00,527.72,,93.21,3.08,212.03,217.26,267.89,599.42,10.41,6.04,243.50,23.99,0.00,0.42,39.03,838035.00,1325730.00,1215115.00,1229801.00,2636.46,1.10
Antigua and Barbuda,2015,0.00,0.00,0.00,246.41,0.00,1.00,20.01,,,20.45,32.32,4.50,172.18,34.20,252.21,1807.61,17.64,1.34,5.54,1.44,0.00,0.00,21.59,74942.00,24981.00,42853.00,47087.00,2638.45,1.11
Antigua and Barbuda,2016,0.00,0.00,0.00,246.41,0.00,1.00,20.51,,,20.70,32.89,4.49,172.18,34.27,252.21,1807.61,18.41,1.37,5.50,1.45,0.00,0.00,21.50,75878.00,25085.00,43176.00,47388.00,2640.49,1.08
Bahamas,1995,10.34,45.73,0.02,246.41,0.00,3.00,18.34,0.00,0.00,90.41,34.38,50.78,128.20,241.46,209.59,1470.69,11.70,3.99,6.13,3.35,0.00,32.08,36.53,53338.00,226812.00,146949.00,152605.00,2643.13,0.54
Antigua and Barbuda,2017,0.00,0.00,0.00,246.41,0.00,1.00,20.80,,,20.11,32.15,5.02,172.18,34.40,252.21,1807.61,19.07,1.40,5.49,1.46,0.00,0.00,24.38,76802.00,25210.00,43461.00,47658.00,2643.70,0.96
Sao Tome and Principe,2012,0.00,0.00,0.04,246.41,0.00,11.48,4.62,0.00,215.31,2.37,10.78,17.00,89.98,15.93,209.59,1807.61,1.00,2.69,2.30,4.61,0.00,0.00,2.89,60061.00,122828.00,94793.00,95131.00,2644.61,0.81
Sao Tome and Principe,2013,0.00,0.00,0.04,246.41,0.00,11.48,4.26,0.00,215.31,2.23,10.69,17.00,89.98,16.16,209.59,1807.61,1.08,2.97,2.53,5.09,0.00,0.00,3.25,59465.00,127580.00,96719.00,97038.00,2645.69,0.87
Sao Tome and Principe,2014,0.00,0.00,0.04,246.41,0.00,11.48,5.68,0.00,215.31,2.28,11.60,17.00,89.98,16.34,209.59,1807.61,1.05,3.13,2.50,5.37,0.00,0.00,3.19,58885.00,132381.00,98594.00,98903.00,2648.58,0.89
Sao Tome and Principe,2019,0.00,0.00,0.05,246.41,0.00,11.48,4.25,0.00,215.31,3.39,19.74,17.00,80.61,17.22,209.59,1807.61,1.11,3.37,2.69,5.77,0.00,0.00,4.38,56336.00,157043.00,107123.00,107476.00,2649.98,1.42
Slovakia,1998,0.00,0.38,210.58,603.49,67.29,109.00,316.44,-9917.10,449.14,1130.42,847.27,309.33,673.86,963.95,744.34,0.00,4600.21,302.40,123.36,611.26,0.00,0.00,505.12,2354760.00,3040494.00,2612385.00,2758695.00,2650.76,0.65
Sao Tome and Principe,2015,0.00,0.00,0.04,246.41,0.00,11.48,5.68,0.00,215.31,3.34,13.19,17.00,89.98,16.51,209.59,1807.61,1.02,3.16,2.49,5.42,0.00,0.00,3.51,58325.00,137228.00,100410.00,100713.00,2651.74,0.99
Sao Tome and Principe,2016,0.00,0.00,0.04,246.41,0.00,11.48,5.68,0.00,215.31,2.88,14.53,17.00,89.98,16.67,209.59,1807.61,1.01,3.16,2.55,5.44,0.00,0.00,3.83,57790.00,142120.00,102168.00,102465.00,2653.17,1.50
Antigua and Barbuda,2018,0.00,0.00,0.00,246.41,0.00,1.00,21.36,,,20.54,35.85,6.07,172.18,34.53,252.21,1807.61,19.85,1.40,5.44,1.46,0.00,0.00,27.76,77700.00,25350.00,43715.00,47910.00,2653.71,0.56
Sao Tome and Principe,2018,0.00,0.00,0.05,246.41,0.00,11.48,4.90,0.00,215.31,3.18,17.95,17.00,89.98,17.04,209.59,1807.61,1.04,3.35,2.73,5.75,0.00,0.00,4.37,56792.00,152026.00,105507.00,105837.00,2657.74,1.04
Antigua and Barbuda,2019,0.00,0.00,0.00,246.41,0.00,1.00,22.31,,,19.68,38.43,6.10,172.18,34.64,252.21,1807.61,20.71,1.42,4.87,1.44,0.00,0.00,29.53,78577.00,25507.00,43961.00,48156.00,2658.55,0.90
Sao Tome and Principe,2020,0.00,0.00,0.03,246.41,0.00,11.48,4.19,0.00,215.31,3.46,21.23,17.00,89.98,17.40,209.59,1807.61,1.14,3.82,2.72,6.56,0.00,0.00,4.78,55910.00,162101.00,109112.00,109528.00,2662.72,1.58
Antigua and Barbuda,2020,0.00,0.00,0.00,246.41,0.00,1.00,21.68,,,19.39,39.65,6.04,172.18,34.58,252.21,1807.61,21.50,1.45,4.71,1.45,0.00,0.00,36.41,79428.00,25682.00,44236.00,48428.00,2666.27,1.05
Djibouti,2013,0.00,0.00,0.37,246.41,0.00,11.48,10.52,0.00,0.00,12.77,79.52,8.01,67.63,93.81,209.59,1617.99,62.00,3.73,213.70,21.40,0.00,0.00,10.64,204251.00,692437.00,483527.00,488225.00,2669.58,1.11
Bahamas,2007,9.44,5.57,0.02,246.41,0.00,4.00,23.22,0.00,0.00,139.44,72.90,37.40,128.20,255.82,209.59,1470.69,13.70,4.37,6.62,3.66,0.00,5.57,35.58,60587.00,281741.00,173576.00,184090.00,2672.18,0.89
Bahamas,2006,7.46,24.33,0.02,246.41,0.00,3.00,23.58,0.00,0.00,124.16,74.42,31.32,128.20,255.08,209.59,1470.69,13.30,4.38,6.63,3.66,0.00,24.07,25.80,59577.00,276253.00,171363.00,181302.00,2676.10,0.58
